Transaction_ID;Employee_ID;Category;Amount;Date;Merchant;Has_Receipt;Payment_Method;Business_Purpose;Location
T00234;E158;Train;120,71;1.10.2025;CD Railways;Yes;Corporate Card;Business trip;Berlin, Germany
T00167;E146;Hotel;118,27;27.02.2025;Marriott;Yes;Corporate Card;Finance workshop;London, UK
T00214;E157;Breakfast;15,83;23.07.2025;Costa Coffee;No;Corporate Card;Client meeting;London, UK
T00258;E168;Taxi/Rideshare;59,98;23.10.2025;Uber;Yes;Personal Card;Late return from client meeting;Prague, Czech Republic
T00010;E106;Dinner;53,45;21.04.2025;Whisky in the Jar;Yes;Corporate Card;Business trip;Prague, Czech Republic
T00152;E143;Lunch;27,01;20.06.2025;North Fish;Yes;Corporate Card;Customer workshop;Amsterdam, Netherlands
T00179;E153;Hotel;119,45;30.06.2025;Sheraton;Yes;Personal Card;Business trip;Gdansk, Poland
T00119;E135;Dinner;36,96;12.08.2025;Hotel Restaurant;No;Personal Card;Team dinner;Gdansk, Poland
T00194;E157;Hotel;260,81;8.12.2025;Holiday Inn;Yes;Corporate Card;Project workshop;Krakow, Poland
T00229;E157;Airfare;962,1;2.06.2025;Lufthansa;Yes;Corporate Card;Supplier meeting;Wroclaw, Poland
T00061;E116;Airfare;907,48;5.05.2025;LOT Polish Airlines;Yes;Corporate Card;Training;London, UK
T00296;E170;Breakfast;22,79;29.08.2025;Green Caffe Nero;Yes;Corporate Card;Client meeting;Krakow, Poland
T00065;E116;Train;119,2;25.09.2025;Eurostar;No;Corporate Card;Internal meeting;Warsaw, Poland
T00012;E107;Dinner;40,9;18.06.2025;Hotel Restaurant;Yes;Corporate Card;Supplier meeting;Prague, Czech Republic
T00078;E121;Breakfast;25,22;23.04.2025;Pret A Manger;Yes;Corporate Card;Internal meeting;Warsaw, Poland
T00160;E143;Dinner;31,53;25.09.2025;Stary Dom;Yes;Corporate Card;Supplier meeting;Amsterdam, Netherlands
T00220;E157;Lunch;58,77;10.12.2025;Bistro Warszawa;Yes;Corporate Card;Client meeting;Wroclaw, Poland
T00186;E157;Train;173,61;17.11.2025;Deutsche Bahn;No;Personal Card;Business trip;London, UK
T00185;E157;Hotel;354,63;25.03.2025;Mercure;Yes;Corporate Card;Conference attendance;Vienna, Austria
T00165;E146;Lunch;56,55;13.05.2025;Vapiano;Yes;Corporate Card;Team lunch;London, UK
T00042;E114;Breakfast;19,69;26.06.2025;Paul;No;Corporate Card;Business trip;Berlin, Germany
T00259;E168;Airfare;913,42;26.04.2025;British Airways;Yes;Corporate Card;Customer visit;Hamburg, Germany
T00025;E111;Dinner;68,89;10.11.2025;Restauracja Polska;Yes;Personal Card;Team dinner;Krakow, Poland
T00170;E149;Hotel;177,79;5.05.2025;Marriott;No;Corporate Card;Conference attendance;Prague, Czech Republic
T00161;E143;Lunch;18,34;8.09.2025;Vapiano;No;Corporate Card;Customer workshop;London, UK
T00193;E157;Taxi/Rideshare;60,07;21.05.2025;Taxi Warsaw;Yes;Corporate Card;Late return from client meeting;Wroclaw, Poland
T00297;E170;Hotel;340,47;14.03.2025;Novotel;Yes;Corporate Card;Finance workshop;Berlin, Germany
T00074;E121;Dinner;52,17;7.04.2025;Hard Rock Cafe;No;Corporate Card;Team dinner;Paris, France
T00285;E170;Airfare;579,71;8.04.2025;easyJet;No;Personal Card;Training;Berlin, Germany
T00153;E143;Lunch;55;8.12.2025;Food Hall;Yes;Corporate Card;Client meeting;Amsterdam, Netherlands
T00063;E116;Dinner;29,45;27.08.2025;Nobu Warsaw;Yes;Corporate Card;Project milestone dinner;London, UK
T00263;E169;Airfare;571,91;26.11.2025;KLM;Yes;Personal Card;Supplier meeting;Berlin, Germany
T00132;E140;Lunch;22,62;19.03.2025;Zabka;Yes;Personal Card;Business trip;Manchester, UK
T00148;E142;Airfare;318,76;17.01.2025;Brussels Airlines;Yes;Corporate Card;Training;Vienna, Austria
T00092;E123;Hotel;374,61;9.05.2025;Sheraton;Yes;Corporate Card;HR conference;Vienna, Austria
T00014;E107;Airfare;853,4;9.06.2025;Brussels Airlines;Yes;Corporate Card;Customer visit;Munich, Germany
T00175;E153;Airfare;535,43;4.06.2025;easyJet;Yes;Corporate Card;Supplier meeting;Paris, France
T00001;E103;Taxi/Rideshare;22,47;13.03.2025;FREE NOW;No;Corporate Card;Travel between offices;Gdansk, Poland
T00140;E141;Lunch;30,74;20.06.2025;North Fish;Yes;Corporate Card;Team lunch;Warsaw, Poland
T00201;E157;Dinner;60,47;12.09.2025;Concept 13;Yes;Corporate Card;Partner meeting;London, UK
T00236;E159;Dinner;58,11;27.08.2025;Aioli;Yes;Corporate Card;Candidate dinner;Vienna, Austria
T00147;E142;Breakfast;16,08;22.10.2025;Costa Coffee;Yes;Corporate Card;Conference attendance;Warsaw, Poland
T00031;E111;Train;173,53;7.07.2025;Italo;Yes;Corporate Card;Training;Warsaw, Poland
T00015;E108;Airfare;654,77;1.08.2025;Ryanair;No;Corporate Card;Training;Vienna, Austria
T00127;E138;Lunch;33,1;10.12.2025;Local Bistro;Yes;Corporate Card;Conference attendance;Berlin, Germany
T00026;E111;Airfare;443,25;28.02.2025;Wizz Air;Yes;Corporate Card;Business trip;Prague, Czech Republic
T00228;E157;Lunch;56,97;14.05.2025;Pret A Manger;Yes;Corporate Card;Supplier meeting;Vienna, Austria
T00183;E157;Taxi/Rideshare;33,74;24.01.2025;Taxi Berlin;Yes;Corporate Card;Airport transfer;Warsaw, Poland
T00122;E135;Hotel;282,31;29.09.2025;Courtyard by Marriott;Yes;Corporate Card;Training;Wroclaw, Poland
T00207;E157;Taxi/Rideshare;56,7;14.06.2025;mytaxi;Yes;Personal Card;Client meeting;Prague, Czech Republic
T00249;E163;Train;71,73;7.11.2025;ÖBB;Yes;Corporate Card;Project workshop;Frankfurt, Germany
T00138;E141;Airfare;563,78;7.11.2025;Brussels Airlines;Yes;Corporate Card;Business trip;Vienna, Austria
T00034;E111;Lunch;38,55;4.12.2025;Pret A Manger;Yes;Personal Card;Internal meeting;Vienna, Austria
T00282;E170;Dinner;30,02;10.12.2025;Der Elefant;Yes;Personal Card;Team dinner;Paris, France
T00248;E161;Airfare;405,04;30.01.2025;Brussels Airlines;Yes;Personal Card;Sales visit;Hamburg, Germany
T00101;E125;Hotel;338,51;22.08.2025;Motel One;Yes;Personal Card;Conference attendance;Amsterdam, Netherlands
T00188;E157;Hotel;141,4;17.11.2025;Leonardo Hotels;Yes;Corporate Card;Business trip;Vienna, Austria
T00269;E169;Dinner;43,19;6.08.2025;Whisky in the Jar;Yes;Corporate Card;Business trip;Dublin, Ireland
T00144;E141;Train;45,4;12.12.2025;Deutsche Bahn;Yes;Personal Card;Business trip;Hamburg, Germany
T00246;E161;Dinner;67,89;24.10.2025;Nobu Warsaw;Yes;Personal Card;Client dinner;Prague, Czech Republic
T00250;E163;Breakfast;20,9;25.08.2025;Paul;No;Corporate Card;Travel to customer site;Warsaw, Poland
T00206;E157;Taxi/Rideshare;31,28;9.09.2025;FREE NOW;Yes;Corporate Card;Late return from client meeting;Vienna, Austria
T00143;E141;Dinner;80,65;21.03.2025;Concept 13;Yes;Corporate Card;HR workshop;Munich, Germany
T00097;E123;Lunch;18,12;19.03.2025;Zabka;No;Corporate Card;Internal meeting;Vienna, Austria
T00048;E114;Train;173,25;1.08.2025;ÖBB;Yes;Personal Card;Supplier meeting;Manchester, UK
T00262;E169;Dinner;88,99;25.02.2025;Restauracja Polska;Yes;Corporate Card;Client dinner;Manchester, UK
T00213;E157;Airfare;388;28.05.2025;LOT Polish Airlines;Yes;Corporate Card;Conference attendance;Prague, Czech Republic
T00301;E171;Hotel;122,21;27.10.2025;Courtyard by Marriott;No;Corporate Card;Training;Edinburgh, UK
T00107;E127;Taxi/Rideshare;49,24;13.10.2025;mytaxi;Yes;Corporate Card;Airport transfer;Gdansk, Poland
T00058;E115;Dinner;54,18;3.09.2025;Restauracja Polska;Yes;Corporate Card;Campaign planning dinner;Berlin, Germany
T00022;E109;Dinner;44,31;9.05.2025;Local Restaurant;Yes;Corporate Card;Agency dinner;Prague, Czech Republic
T00118;E134;Lunch;41,19;7.10.2025;Pret A Manger;Yes;Corporate Card;Audit meeting;Berlin, Germany
T00113;E133;Hotel;234,67;22.08.2025;Sheraton;Yes;Corporate Card;Project workshop;Edinburgh, UK
T00124;E137;Train;116,04;6.11.2025;Leo Express;Yes;Corporate Card;Project workshop;Frankfurt, Germany
T00054;E114;Lunch;52,9;12.05.2025;North Fish;Yes;Corporate Card;Customer workshop;London, UK
T00208;E157;Taxi/Rideshare;37,52;9.05.2025;Bolt;Yes;Corporate Card;Travel between offices;Prague, Czech Republic
T00245;E161;Taxi/Rideshare;41,87;23.04.2025;Taxi Berlin;Yes;Corporate Card;Conference attendance;Warsaw, Poland
T00135;E140;Breakfast;35,51;27.01.2025;Cafe Nero;Yes;Personal Card;Business trip;Manchester, UK
T00084;E122;Lunch;41,6;27.05.2025;Pret A Manger;Yes;Corporate Card;Supplier meeting;Gdansk, Poland
T00158;E143;Taxi/Rideshare;42,88;28.01.2025;Bolt;Yes;Personal Card;Customer visit;Edinburgh, UK
T00227;E157;Dinner;27,01;3.06.2025;Soul Kitchen;Yes;Corporate Card;Business trip;Wroclaw, Poland
T00198;E157;Breakfast;24,24;9.05.2025;Paul;Yes;Corporate Card;Business trip;Krakow, Poland
T00205;E157;Airfare;647,31;2.09.2025;easyJet;Yes;Corporate Card;Training;London, UK
T00204;E157;Airfare;489,71;1.10.2025;Brussels Airlines;Yes;Personal Card;Client visit;Vienna, Austria
T00137;E141;Hotel;354,38;10.07.2025;Courtyard by Marriott;Yes;Corporate Card;Business trip;Frankfurt, Germany
T00146;E142;Dinner;49,47;1.08.2025;Stary Dom;Yes;Corporate Card;Business trip;Prague, Czech Republic
T00021;E109;Dinner;78,28;16.01.2025;Nobu Warsaw;Yes;Corporate Card;Agency dinner;Prague, Czech Republic
T00243;E159;Breakfast;23,35;26.11.2025;Local Bakery;Yes;Corporate Card;Internal meeting;Vienna, Austria
T00276;E169;Dinner;85,79;18.04.2025;Stary Dom;Yes;Personal Card;Customer workshop;London, UK
T00169;E149;Train;180,08;23.10.2025;Deutsche Bahn;Yes;Corporate Card;Business trip;Krakow, Poland
T00039;E113;Breakfast;15,21;24.06.2025;Zebra Cafe;No;Personal Card;Early client workshop;Berlin, Germany
T00095;E123;Lunch;55,82;17.09.2025;Pret A Manger;Yes;Corporate Card;Internal meeting;Berlin, Germany
T00281;E170;Breakfast;36,94;28.03.2025;Galeria Wypiekow;Yes;Corporate Card;Early client workshop;Paris, France
T00253;E167;Hotel;274,11;17.06.2025;ibis;Yes;Corporate Card;Conference attendance;Vienna, Austria
T00027;E111;Airfare;839,55;14.08.2025;SAS;Yes;Corporate Card;Business trip;Krakow, Poland
T00172;E151;Hotel;129,5;14.01.2025;Marriott;Yes;Personal Card;Campaign event;Warsaw, Poland
T00109;E130;Train;73,3;23.09.2025;SNCF;Yes;Corporate Card;Project workshop;Prague, Czech Republic
T00088;E123;Dinner;87,86;2.04.2025;Local Restaurant;Yes;Corporate Card;Business trip;Berlin, Germany
T00242;E159;Airfare;693,8;11.07.2025;Austrian Airlines;Yes;Personal Card;HR conference;Krakow, Poland
T00286;E170;Airfare;833,8;28.04.2025;Wizz Air;No;Corporate Card;Training;Paris, France
T00159;E143;Hotel;203,7;11.03.2025;Holiday Inn;Yes;Corporate Card;Sales visit;London, UK
T00256;E167;Dinner;71,88;22.07.2025;Bistro Central;Yes;Personal Card;Project milestone dinner;Wroclaw, Poland
T00225;E157;Hotel;352,41;3.02.2025;Novotel;No;Corporate Card;Agency workshop;Warsaw, Poland
T00100;E125;Train;102,74;25.08.2025;PKP Intercity;Yes;Corporate Card;Customer visit;Berlin, Germany
T00294;E170;Dinner;60,36;18.11.2025;Whisky in the Jar;Yes;Corporate Card;Partner meeting;London, UK
T00072;E121;Airfare;909,41;29.07.2025;Lufthansa;Yes;Corporate Card;Agency workshop;London, UK
T00255;E167;Lunch;31,43;5.05.2025;Sphinx;Yes;Corporate Card;Partner meeting;Vienna, Austria
T00230;E158;Dinner;99,84;15.09.2025;Whisky in the Jar;Yes;Corporate Card;Business trip;Munich, Germany
T00173;E151;Airfare;570,86;3.02.2025;Brussels Airlines;Yes;Corporate Card;Conference attendance;Warsaw, Poland
T00300;E171;Airfare;1166,83;8.08.2025;Lufthansa;Yes;Personal Card;Training;London, UK
T00062;E116;Lunch;29,68;2.09.2025;Bistro Warszawa;Yes;Corporate Card;Supplier meeting;Paris, France
T00011;E106;Hotel;131,95;19.09.2025;Motel One;No;Corporate Card;Conference attendance;Krakow, Poland
T00050;E114;Taxi/Rideshare;83,86;10.04.2025;iTaxi;Yes;Corporate Card;Business trip;Berlin, Germany
T00178;E153;Hotel;202,62;15.05.2025;NH Hotels;Yes;Corporate Card;Business trip;London, UK
T00284;E170;Taxi/Rideshare;51,85;17.11.2025;iTaxi;Yes;Corporate Card;Conference attendance;London, UK
T00247;E161;Hotel;184,05;5.03.2025;Marriott;Yes;Corporate Card;Customer visit;Vienna, Austria
T00226;E157;Hotel;232,67;28.05.2025;ibis;Yes;Corporate Card;Conference attendance;Warsaw, Poland
T00038;E112;Airfare;736,76;25.07.2025;LOT Polish Airlines;Yes;Corporate Card;Project workshop;Frankfurt, Germany
T00131;E139;Lunch;28,08;7.07.2025;Bistro Warszawa;No;Corporate Card;Agency meeting;Warsaw, Poland
T00036;E111;Train;177,8;23.07.2025;Italo;Yes;Personal Card;Business trip;Paris, France
T00235;E159;Airfare;882,02;12.08.2025;Air France;Yes;Corporate Card;HR conference;Krakow, Poland
T00232;E158;Breakfast;19,34;28.04.2025;Cafe Nero;Yes;Corporate Card;Travel to customer site;Berlin, Germany
T00115;E134;Train;97,06;14.07.2025;ČD Railways;Yes;Personal Card;Training;Vienna, Austria
T00089;E123;Lunch;53,12;11.04.2025;Greenway;Yes;Corporate Card;Internal meeting;Prague, Czech Republic
T00126;E138;Lunch;18,41;8.10.2025;North Fish;Yes;Personal Card;Project workshop;Krakow, Poland
T00224;E157;Breakfast;35,34;13.03.2025;Hotel Breakfast;Yes;Corporate Card;Conference attendance;Berlin, Germany
T00043;E114;Lunch;26,31;15.12.2025;Restauracja Polska;Yes;Corporate Card;Internal meeting;Amsterdam, Netherlands
T00261;E169;Dinner;69,66;15.04.2025;Nobu Warsaw;Yes;Corporate Card;Client dinner;Dublin, Ireland
T00164;E144;Airfare;821,99;18.02.2025;KLM;Yes;Corporate Card;Customer visit;Frankfurt, Germany
T00005;E103;Dinner;63,5;9.07.2025;Der Elefant;Yes;Corporate Card;Team dinner;Wroclaw, Poland
T00098;E123;Lunch;58,08;22.01.2025;Vapiano;Yes;Personal Card;Internal meeting;Amsterdam, Netherlands
T00028;E111;Airfare;611,46;12.09.2025;Brussels Airlines;Yes;Corporate Card;HR conference;Krakow, Poland
T00187;E157;Taxi/Rideshare;22,89;26.07.2025;iTaxi;Yes;Corporate Card;Travel between offices;Warsaw, Poland
T00116;E134;Dinner;32,79;14.03.2025;Aioli;Yes;Personal Card;Project milestone dinner;Warsaw, Poland
T00192;E157;Dinner;65,43;18.11.2025;Aioli;Yes;Personal Card;Agency dinner;Prague, Czech Republic
T00079;E121;Airfare;506,33;14.07.2025;British Airways;Yes;Corporate Card;Campaign event;Vienna, Austria
T00273;E169;Airfare;465,82;14.03.2025;Austrian Airlines;Yes;Corporate Card;Campaign event;Edinburgh, UK
T00082;E122;Lunch;46,2;1.08.2025;Greenway;Yes;Corporate Card;Team lunch;Gdansk, Poland
T00145;E141;Lunch;60,86;7.03.2025;Food Hall;Yes;Corporate Card;HR workshop;Frankfurt, Germany
T00047;E114;Airfare;458,36;24.07.2025;KLM;Yes;Corporate Card;Project workshop;London, UK
T00060;E115;Train;128,52;28.10.2025;Italo;Yes;Corporate Card;Business trip;Berlin, Germany
